"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kevon Looney","Gol","F","29","45","16.4","14","11.9","62","0.516","190","0.526","2","0","0.521","0.529","5.2","6.9","1.9","0.7","0.4","0.6","12.1","7","13.9","10","125.2","98.6"
"","Tyrese Martin","Bro","F","25.9","33","21.2","18.8","14.4","30","0.7","95","0.474","149","0.356","0.51","0.525","8.2","3.9","1.8","0.4","0.2","1.2","12.1","9.9","13.8","7.3","102.6","115"
"","Bruce Brown","Tor","G-F","28.5","18","19.6","19.5","12.6","29","0.897","95","0.484","36","0.306","0.477","0.525","8.4","3.8","1.6","0.9","0.2","1.1","12.2","9.9","13.7","7.6","105.6","112.4"
"","Amir Coffey","Lac","G-F","27.6","50","26","14.9","9.3","89","0.899","188","0.521","184","0.424","0.578","0.62","10.2","2.4","1.1","0.6","0.1","0.8","12.6","11.3","13.7","4.6","121","109.9"
"","Georges Niang","Cle","F","31.6","51","20.7","16.6","12.1","29","0.793","123","0.618","225","0.4","0.606","0.617","8.7","3.7","1.3","0.3","0.1","0.9","12.4","10","13.7","6.7","115.5","103.3"
"","Kyshawn George","Was","F","21.2","45","25.5","14.9","14.7","53","0.774","100","0.49","231","0.299","0.461","0.488","7.7","3.8","2.2","0.8","0.6","1.3","11.4","9.9","13.6","6.3","98","112"
"","Isaiah Jackson","Ind","F","23.1","5","16.8","17.6","17.7","14","0.5","23","0.609","0","0","0.609","0.6","7","5.6","1","0.6","1.6","1","12.6","8","13.6","8.1","118.7","98.6"
"","Isaiah Joe","Okc","G","25.6","45","21","17.3","5.3","26","0.731","78","0.564","276","0.399","0.59","0.598","9.7","2.5","1.4","0.7","0.1","0.4","12.2","11.1","13.6","6.2","121","104.3"
"","Precious Achiuwa","Nyk","F","25.4","30","20.5","13.6","14.1","36","0.611","131","0.573","21","0.381","0.572","0.584","6.5","5.8","1","1","0.8","0.8","12.4","7.6","13.4","6.5","120.1","106.3"
"","Dalton Knecht","Lal","F","23.8","48","20.7","17.9","6.4","57","0.825","138","0.63","215","0.358","0.574","0.598","9.4","3.1","0.9","0.3","0.1","0.5","12.5","10.3","13.4","5.7","117.2","112"
"","Vasilije Micic","Cha","G","31.1","36","21.2","20.2","21.3","41","0.829","148","0.338","125","0.36","0.43","0.462","7.5","2.4","3.5","0.4","0","2.1","9.9","11","13.4","7.5","93.8","114.5"
"","Brice Sensabaugh","Uta","F","21.3","39","17.9","21.8","15.5","35","0.943","115","0.565","178","0.382","0.57","0.595","9.4","2.6","1.3","0.6","0.1","1.4","12","10.7","13.3","7.1","108.4","114.6"
"","Taurean Prince","Mil","F","30.9","49","25.6","12.2","14.1","24","0.792","104","0.442","189","0.46","0.602","0.613","7.6","3.7","2","0.8","0.1","1","11.3","9.6","13.3","6","115.4","108.4"
"","Kelly Olynyk","Tor","F-C","33.8","24","16","18.9","22.8","43","0.791","75","0.533","43","0.442","0.581","0.624","7.1","3.7","2.3","0.7","0.3","1.5","10.8","9.5","13.2","9.8","114.3","102.8"
"","Justin Champagnie","Was","G-F","23.6","32","18.8","15.9","11.6","31","0.645","98","0.633","92","0.38","0.603","0.611","7.8","4.5","0.9","1","0.6","0.8","12.3","8.7","13.2","6.7","117.2","111.3"
"","Jaylen Nowell","Nor","G","25.6","8","21","21.5","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","94","121"
"","Cason Wallace","Okc","G","21.3","46","27.4","11.9","9.8","18","0.778","177","0.525","135","0.333","0.514","0.524","7.3","3.5","2.4","1.8","0.6","0.7","10.7","9.7","13.1","5.8","113.6","102.3"
"","Peyton Watson","Den","G","22.4","48","24.2","14","12.6","101","0.752","203","0.532","94","0.34","0.525","0.568","8.1","3.4","1.5","0.9","1.2","0.9","11.5","9.6","13","5.7","113.6","111.7"
"","Isaiah Stewart","Det","F-C","23.7","46","20.2","11.7","16.9","46","0.826","164","0.591","33","0.242","0.553","0.589","5.6","5.8","1.7","0.4","1.3","0.9","11.3","7.3","13","7.5","122.4","104"
"","Gary Trent Jr.","Mil","G","26.1","44","24.6","15.6","6.7","36","0.889","118","0.449","228","0.421","0.569","0.589","9.7","2.4","1","0.9","0.1","0.6","12","10.7","13","4.6","113","109.6"
"","Davion Mitchell","Tor","G","26.4","44","24.6","13.2","24.2","37","0.676","127","0.504","117","0.359","0.52","0.536","6.3","2","4.6","0.7","0.2","1.8","8.3","11","12.9","6.3","105.2","112.4"
